id,name,base_name,height_meter,weight_kg,hp,attack,defense,special_attack,special_defense,speed,type_1,type_2,is_legendary,is_mythical
10165,mr-mime-galar,mr-mime,1.4,56.8,50,65,65,90,90,100,ice,psychic,False,False
10166,articuno-galar,articuno,1.7,50.9,90,85,85,125,100,95,psychic,flying,True,False
10167,zapdos-galar,zapdos,1.6,58.2,90,125,90,85,90,100,fighting,flying,True,False
10168,moltres-galar,moltres,2.0,66.0,90,85,90,100,125,90,dark,flying,True,False
10169,slowking-galar,slowking,1.8,79.5,95,65,80,110,110,30,poison,psychic,False,False
10170,corsola-galar,corsola,0.6,0.5,60,55,100,65,100,30,ghost,,False,False
10171,zigzagoon-galar,zigzagoon,0.4,17.5,38,30,41,30,41,60,dark,normal,False,False
10172,linoone-galar,linoone,0.5,32.5,78,70,61,50,61,100,dark,normal,False,False
10173,darumaka-galar,darumaka,0.7,40.0,70,90,45,15,45,50,ice,,False,False
10174,darmanitan-standard-galar,darmanitan,1.7,120.0,105,140,55,30,55,95,ice,,False,False
10175,darmanitan-zen-galar,darmanitan,1.7,120.0,105,160,55,30,55,135,ice,fire,False,False
10176,yamask-galar,yamask,0.5,1.5,38,55,85,30,65,30,ground,ghost,False,False
10177,stunfisk-galar,stunfisk,0.7,20.5,109,81,99,66,84,32,ground,steel,False,False
10178,toxtricity-low-key,toxtricity,1.6,40.0,75,98,70,114,70,75,electric,poison,False,False
10179,eiscue-noice,eiscue,1.4,89.0,75,80,70,65,50,130,ice,,False,False
10180,indeedee-female,indeedee,0.9,2.8,70,55,65,95,105,85,psychic,normal,False,False
10181,zacian-crowned,zacian,2.8,355.0,92,170,115,80,115,148,fairy,steel,True,False
10182,zamazenta-crowned,zamazenta,2.9,785.0,92,130,145,80,145,128,fighting,steel,True,False
10183,urshifu-rapid-strike,urshifu,1.9,105.0,100,130,100,63,60,97,fighting,water,True,False
10184,calyrex-ice-rider,calyrex,2.4,809.1,100,165,150,85,130,50,psychic,ice,True,False
10185,calyrex-shadow-rider,calyrex,2.4,53.6,100,85,80,165,100,150,psychic,ghost,True,False
10186,venusaur-gmax,venusaur,24.0,1000.0,80,82,83,100,100,80,grass,poison,False,False
10187,charizard-gmax,charizard,28.0,1000.0,78,84,78,109,85,100,fire,flying,False,False
10188,blastoise-gmax,blastoise,25.0,1000.0,79,83,100,85,105,78,water,,False,False
10189,butterfree-gmax,butterfree,17.0,1000.0,60,45,50,90,80,70,bug,flying,False,False
10190,pikachu-gmax,pikachu,21.0,1000.0,35,55,40,50,50,90,electric,,False,False
10191,meowth-gmax,meowth,33.0,1000.0,40,45,35,40,40,90,normal,,False,False
10192,machamp-gmax,machamp,25.0,1000.0,90,130,80,65,85,55,fighting,,False,False
10193,gengar-gmax,gengar,20.0,1000.0,60,65,60,130,75,110,ghost,poison,False,False
10194,kingler-gmax,kingler,19.0,1000.0,55,130,115,50,50,75,water,,False,False
10195,lapras-gmax,lapras,24.0,1000.0,130,85,80,85,95,60,water,ice,False,False
10196,eevee-gmax,eevee,18.0,1000.0,55,55,50,45,65,55,normal,,False,False
10197,snorlax-gmax,snorlax,35.0,1000.0,160,110,65,65,110,30,normal,,False,False
10198,garbodor-gmax,garbodor,21.0,1000.0,80,95,82,60,82,75,poison,,False,False
10199,melmetal-gmax,melmetal,25.0,1000.0,135,143,143,80,65,34,steel,,False,True
10200,rillaboom-gmax,rillaboom,28.0,1000.0,100,125,90,60,70,85,grass,,False,False
10201,cinderace-gmax,cinderace,27.0,1000.0,80,116,75,65,75,119,fire,,False,False
10202,inteleon-gmax,inteleon,40.0,1000.0,70,85,65,125,65,120,water,,False,False
10203,corviknight-gmax,corviknight,14.0,1000.0,98,87,105,53,85,67,flying,steel,False,False
10204,orbeetle-gmax,orbeetle,14.0,1000.0,60,45,110,80,120,90,bug,psychic,False,False
10205,drednaw-gmax,drednaw,24.0,1000.0,90,115,90,48,68,74,water,rock,False,False
10206,coalossal-gmax,coalossal,42.0,1000.0,110,80,120,80,90,30,rock,fire,False,False
10207,flapple-gmax,flapple,24.0,1000.0,70,110,80,95,60,70,grass,dragon,False,False
10208,appletun-gmax,appletun,24.0,1000.0,110,85,80,100,80,30,grass,dragon,False,False
10209,sandaconda-gmax,sandaconda,22.0,1000.0,72,107,125,65,70,71,ground,,False,False
10210,toxtricity-amped-gmax,toxtricity,24.0,1000.0,75,98,70,114,70,75,electric,poison,False,False
10211,centiskorch-gmax,centiskorch,75.0,1000.0,100,115,65,90,90,65,fire,bug,False,False
10212,hatterene-gmax,hatterene,26.0,1000.0,57,90,95,136,103,29,psychic,fairy,False,False
10213,grimmsnarl-gmax,grimmsnarl,32.0,1000.0,95,120,65,95,75,60,dark,fairy,False,False
10214,alcremie-gmax,alcremie,30.0,1000.0,65,60,75,110,121,64,fairy,,False,False
10215,copperajah-gmax,copperajah,23.0,1000.0,122,130,69,80,69,30,steel,,False,False
10216,duraludon-gmax,duraludon,43.0,1000.0,70,95,115,120,50,85,steel,dragon,False,False
10217,eternatus-eternamax,eternatus,100.0,1000.0,255,115,250,125,250,130,poison,dragon,True,False
10218,urshifu-single-strike-gmax,urshifu,29.0,1000.0,100,130,100,63,60,97,fighting,dark,True,False
10219,urshifu-rapid-strike-gmax,urshifu,26.0,1000.0,100,130,100,63,60,97,fighting,water,True,False
10220,toxtricity-low-key-gmax,toxtricity,24.0,1000.0,75,98,70,114,70,75,electric,poison,False,False
