id,name,base_name,height_meter,weight_kg,hp,attack,defense,special_attack,special_defense,speed,type_1,type_2,is_legendary,is_mythical
392,infernape,infernape,1.2,55.0,76,104,71,104,71,108,fire,fighting,False,False
393,piplup,piplup,0.4,5.2,53,51,53,61,56,40,water,,False,False
394,prinplup,prinplup,0.8,23.0,64,66,68,81,76,50,water,,False,False
395,empoleon,empoleon,1.7,84.5,84,86,88,111,101,60,water,steel,False,False
396,starly,starly,0.3,2.0,40,55,30,30,30,60,normal,flying,False,False
397,staravia,staravia,0.6,15.5,55,75,50,40,40,80,normal,flying,False,False
398,staraptor,staraptor,1.2,24.9,85,120,70,50,60,100,normal,flying,False,False
399,bidoof,bidoof,0.5,20.0,59,45,40,35,40,31,normal,,False,False
400,bibarel,bibarel,1.0,31.5,79,85,60,55,60,71,normal,water,False,False
401,kricketot,kricketot,0.3,2.2,37,25,41,25,41,25,bug,,False,False
402,kricketune,kricketune,1.0,25.5,77,85,51,55,51,65,bug,,False,False
403,shinx,shinx,0.5,9.5,45,65,34,40,34,45,electric,,False,False
404,luxio,luxio,0.9,30.5,60,85,49,60,49,60,electric,,False,False
405,luxray,luxray,1.4,42.0,80,120,79,95,79,70,electric,,False,False
406,budew,budew,0.2,1.2,40,30,35,50,70,55,grass,poison,False,False
407,roserade,roserade,0.9,14.5,60,70,65,125,105,90,grass,poison,False,False
408,cranidos,cranidos,0.9,31.5,67,125,40,30,30,58,rock,,False,False
409,rampardos,rampardos,1.6,102.5,97,165,60,65,50,58,rock,,False,False
410,shieldon,shieldon,0.5,57.0,30,42,118,42,88,30,rock,steel,False,False
411,bastiodon,bastiodon,1.3,149.5,60,52,168,47,138,30,rock,steel,False,False
412,burmy,burmy,0.2,3.4,40,29,45,29,45,36,bug,,False,False
413,wormadam-plant,wormadam,0.5,6.5,60,59,85,79,105,36,bug,grass,False,False
414,mothim,mothim,0.9,23.3,70,94,50,94,50,66,bug,flying,False,False
415,combee,combee,0.3,5.5,30,30,42,30,42,70,bug,flying,False,False
416,vespiquen,vespiquen,1.2,38.5,70,80,102,80,102,40,bug,flying,False,False
417,pachirisu,pachirisu,0.4,3.9,60,45,70,45,90,95,electric,,False,False
418,buizel,buizel,0.7,29.5,55,65,35,60,30,85,water,,False,False
419,floatzel,floatzel,1.1,33.5,85,105,55,85,50,115,water,,False,False
420,cherubi,cherubi,0.4,3.3,45,35,45,62,53,35,grass,,False,False
421,cherrim,cherrim,0.5,9.3,70,60,70,87,78,85,grass,,False,False
422,shellos,shellos,0.3,6.3,76,48,48,57,62,34,water,,False,False
423,gastrodon,gastrodon,0.9,29.9,111,83,68,92,82,39,water,ground,False,False
424,ambipom,ambipom,1.2,20.3,75,100,66,60,66,115,normal,,False,False
425,drifloon,drifloon,0.4,1.2,90,50,34,60,44,70,ghost,flying,False,False
426,drifblim,drifblim,1.2,15.0,150,80,44,90,54,80,ghost,flying,False,False
427,buneary,buneary,0.4,5.5,55,66,44,44,56,85,normal,,False,False
428,lopunny,lopunny,1.2,33.3,65,76,84,54,96,105,normal,,False,False
429,mismagius,mismagius,0.9,4.4,60,60,60,105,105,105,ghost,,False,False
430,honchkrow,honchkrow,0.9,27.3,100,125,52,105,52,71,dark,flying,False,False
431,glameow,glameow,0.5,3.9,49,55,42,42,37,85,normal,,False,False
432,purugly,purugly,1.0,43.8,71,82,64,64,59,112,normal,,False,False
433,chingling,chingling,0.2,0.6,45,30,50,65,50,45,psychic,,False,False
434,stunky,stunky,0.4,19.2,63,63,47,41,41,74,poison,dark,False,False
435,skuntank,skuntank,1.0,38.0,103,93,67,71,61,84,poison,dark,False,False
436,bronzor,bronzor,0.5,60.5,57,24,86,24,86,23,steel,psychic,False,False
437,bronzong,bronzong,1.3,187.0,67,89,116,79,116,33,steel,psychic,False,False
438,bonsly,bonsly,0.5,15.0,50,80,95,10,45,10,rock,,False,False
439,mime-jr,mime-jr,0.6,13.0,20,25,45,70,90,60,psychic,fairy,False,False
440,happiny,happiny,0.6,24.4,100,5,5,15,65,30,normal,,False,False
441,chatot,chatot,0.5,1.9,76,65,45,92,42,91,normal,flying,False,False
442,spiritomb,spiritomb,1.0,108.0,50,92,108,92,108,35,ghost,dark,False,False
443,gible,gible,0.7,20.5,58,70,45,40,45,42,dragon,ground,False,False
444,gabite,gabite,1.4,56.0,68,90,65,50,55,82,dragon,ground,False,False
445,garchomp,garchomp,1.9,95.0,108,130,95,80,85,102,dragon,ground,False,False
446,munchlax,munchlax,0.6,105.0,135,85,40,40,85,5,normal,,False,False
447,riolu,riolu,0.7,20.2,40,70,40,35,40,60,fighting,,False,False
