id,name,base_name,height_meter,weight_kg,hp,attack,defense,special_attack,special_defense,speed,type_1,type_2,is_legendary,is_mythical
783,hakamo-o,hakamo-o,1.2,47.0,55,75,90,65,70,65,dragon,fighting,False,False
784,kommo-o,kommo-o,1.6,78.2,75,110,125,100,105,85,dragon,fighting,False,False
785,tapu-koko,tapu-koko,1.8,20.5,70,115,85,95,75,130,electric,fairy,True,False
786,tapu-lele,tapu-lele,1.2,18.6,70,85,75,130,115,95,psychic,fairy,True,False
787,tapu-bulu,tapu-bulu,1.9,45.5,70,130,115,85,95,75,grass,fairy,True,False
788,tapu-fini,tapu-fini,1.3,21.2,70,75,115,95,130,85,water,fairy,True,False
789,cosmog,cosmog,0.2,0.1,43,29,31,29,31,37,psychic,,True,False
790,cosmoem,cosmoem,0.1,999.9,43,29,131,29,131,37,psychic,,True,False
791,solgaleo,solgaleo,3.4,230.0,137,137,107,113,89,97,psychic,steel,True,False
792,lunala,lunala,4.0,120.0,137,113,89,137,107,97,psychic,ghost,True,False
793,nihilego,nihilego,1.2,55.5,109,53,47,127,131,103,rock,poison,False,False
794,buzzwole,buzzwole,2.4,333.6,107,139,139,53,53,79,bug,fighting,False,False
795,pheromosa,pheromosa,1.8,25.0,71,137,37,137,37,151,bug,fighting,False,False
796,xurkitree,xurkitree,3.8,100.0,83,89,71,173,71,83,electric,,False,False
797,celesteela,celesteela,9.2,999.9,97,101,103,107,101,61,steel,flying,False,False
798,kartana,kartana,0.3,0.1,59,181,131,59,31,109,grass,steel,False,False
799,guzzlord,guzzlord,5.5,888.0,223,101,53,97,53,43,dark,dragon,False,False
800,necrozma,necrozma,2.4,230.0,97,107,101,127,89,79,psychic,,True,False
801,magearna,magearna,1.0,80.5,80,95,115,130,115,65,steel,fairy,False,True
802,marshadow,marshadow,0.7,22.2,90,125,80,90,90,125,fighting,ghost,False,True
803,poipole,poipole,0.6,1.8,67,73,67,73,67,73,poison,,False,False
804,naganadel,naganadel,3.6,150.0,73,73,73,127,73,121,poison,dragon,False,False
805,stakataka,stakataka,5.5,820.0,61,131,211,53,101,13,rock,steel,False,False
806,blacephalon,blacephalon,1.8,13.0,53,127,53,151,79,107,fire,ghost,False,False
807,zeraora,zeraora,1.5,44.5,88,112,75,102,80,143,electric,,False,True
808,meltan,meltan,0.2,8.0,46,65,65,55,35,34,steel,,False,True
809,melmetal,melmetal,2.5,800.0,135,143,143,80,65,34,steel,,False,True
810,grookey,grookey,0.3,5.0,50,65,50,40,40,65,grass,,False,False
811,thwackey,thwackey,0.7,14.0,70,85,70,55,60,80,grass,,False,False
812,rillaboom,rillaboom,2.1,90.0,100,125,90,60,70,85,grass,,False,False
813,scorbunny,scorbunny,0.3,4.5,50,71,40,40,40,69,fire,,False,False
814,raboot,raboot,0.6,9.0,65,86,60,55,60,94,fire,,False,False
815,cinderace,cinderace,1.4,33.0,80,116,75,65,75,119,fire,,False,False
816,sobble,sobble,0.3,4.0,50,40,40,70,40,70,water,,False,False
817,drizzile,drizzile,0.7,11.5,65,60,55,95,55,90,water,,False,False
818,inteleon,inteleon,1.9,45.2,70,85,65,125,65,120,water,,False,False
819,skwovet,skwovet,0.3,2.5,70,55,55,35,35,25,normal,,False,False
820,greedent,greedent,0.6,6.0,120,95,95,55,75,20,normal,,False,False
821,rookidee,rookidee,0.2,1.8,38,47,35,33,35,57,flying,,False,False
822,corvisquire,corvisquire,0.8,16.0,68,67,55,43,55,77,flying,,False,False
823,corviknight,corviknight,2.2,75.0,98,87,105,53,85,67,flying,steel,False,False
824,blipbug,blipbug,0.4,8.0,25,20,20,25,45,45,bug,,False,False
825,dottler,dottler,0.4,19.5,50,35,80,50,90,30,bug,psychic,False,False
826,orbeetle,orbeetle,0.4,40.8,60,45,110,80,120,90,bug,psychic,False,False
827,nickit,nickit,0.6,8.9,40,28,28,47,52,50,dark,,False,False
828,thievul,thievul,1.2,19.9,70,58,58,87,92,90,dark,,False,False
829,gossifleur,gossifleur,0.4,2.2,40,40,60,40,60,10,grass,,False,False
830,eldegoss,eldegoss,0.5,2.5,60,50,90,80,120,60,grass,,False,False
831,wooloo,wooloo,0.6,6.0,42,40,55,40,45,48,normal,,False,False
832,dubwool,dubwool,1.3,43.0,72,80,100,60,90,88,normal,,False,False
833,chewtle,chewtle,0.3,8.5,50,64,50,38,38,44,water,,False,False
834,drednaw,drednaw,1.0,115.5,90,115,90,48,68,74,water,rock,False,False
835,yamper,yamper,0.3,13.5,59,45,50,40,50,26,electric,,False,False
836,boltund,boltund,1.0,34.0,69,90,60,90,60,121,electric,,False,False
837,rolycoly,rolycoly,0.3,12.0,30,40,50,40,50,30,rock,,False,False
838,carkol,carkol,1.1,78.0,80,60,90,60,70,50,rock,fire,False,False
