id,name,base_name,height_meter,weight_kg,hp,attack,defense,special_attack,special_defense,speed,type_1,type_2,is_legendary,is_mythical
671,florges,florges,1.1,10.0,78,65,68,112,154,75,fairy,,False,False
672,skiddo,skiddo,0.9,31.0,66,65,48,62,57,52,grass,,False,False
673,gogoat,gogoat,1.7,91.0,123,100,62,97,81,68,grass,,False,False
674,pancham,pancham,0.6,8.0,67,82,62,46,48,43,fighting,,False,False
675,pangoro,pangoro,2.1,136.0,95,124,78,69,71,58,fighting,dark,False,False
676,furfrou,furfrou,1.2,28.0,75,80,60,65,90,102,normal,,False,False
677,espurr,espurr,0.3,3.5,62,48,54,63,60,68,psychic,,False,False
678,meowstic-male,meowstic,0.6,8.5,74,48,76,83,81,104,psychic,,False,False
679,honedge,honedge,0.8,2.0,45,80,100,35,37,28,steel,ghost,False,False
680,doublade,doublade,0.8,4.5,59,110,150,45,49,35,steel,ghost,False,False
681,aegislash-shield,aegislash,1.7,53.0,60,50,140,50,140,60,steel,ghost,False,False
682,spritzee,spritzee,0.2,0.5,78,52,60,63,65,23,fairy,,False,False
683,aromatisse,aromatisse,0.8,15.5,101,72,72,99,89,29,fairy,,False,False
684,swirlix,swirlix,0.4,3.5,62,48,66,59,57,49,fairy,,False,False
685,slurpuff,slurpuff,0.8,5.0,82,80,86,85,75,72,fairy,,False,False
686,inkay,inkay,0.4,3.5,53,54,53,37,46,45,dark,psychic,False,False
687,malamar,malamar,1.5,47.0,86,92,88,68,75,73,dark,psychic,False,False
688,binacle,binacle,0.5,31.0,42,52,67,39,56,50,rock,water,False,False
689,barbaracle,barbaracle,1.3,96.0,72,105,115,54,86,68,rock,water,False,False
690,skrelp,skrelp,0.5,7.3,50,60,60,60,60,30,poison,water,False,False
691,dragalge,dragalge,1.8,81.5,65,75,90,97,123,44,poison,dragon,False,False
692,clauncher,clauncher,0.5,8.3,50,53,62,58,63,44,water,,False,False
693,clawitzer,clawitzer,1.3,35.3,71,73,88,120,89,59,water,,False,False
694,helioptile,helioptile,0.5,6.0,44,38,33,61,43,70,electric,normal,False,False
695,heliolisk,heliolisk,1.0,21.0,62,55,52,109,94,109,electric,normal,False,False
696,tyrunt,tyrunt,0.8,26.0,58,89,77,45,45,48,rock,dragon,False,False
697,tyrantrum,tyrantrum,2.5,270.0,82,121,119,69,59,71,rock,dragon,False,False
698,amaura,amaura,1.3,25.2,77,59,50,67,63,46,rock,ice,False,False
699,aurorus,aurorus,2.7,225.0,123,77,72,99,92,58,rock,ice,False,False
700,sylveon,sylveon,1.0,23.5,95,65,65,110,130,60,fairy,,False,False
701,hawlucha,hawlucha,0.8,21.5,78,92,75,74,63,118,fighting,flying,False,False
702,dedenne,dedenne,0.2,2.2,67,58,57,81,67,101,electric,fairy,False,False
703,carbink,carbink,0.3,5.7,50,50,150,50,150,50,rock,fairy,False,False
704,goomy,goomy,0.3,2.8,45,50,35,55,75,40,dragon,,False,False
705,sliggoo,sliggoo,0.8,17.5,68,75,53,83,113,60,dragon,,False,False
706,goodra,goodra,2.0,150.5,90,100,70,110,150,80,dragon,,False,False
707,klefki,klefki,0.2,3.0,57,80,91,80,87,75,steel,fairy,False,False
708,phantump,phantump,0.4,7.0,43,70,48,50,60,38,ghost,grass,False,False
709,trevenant,trevenant,1.5,71.0,85,110,76,65,82,56,ghost,grass,False,False
710,pumpkaboo-average,pumpkaboo,0.4,5.0,49,66,70,44,55,51,ghost,grass,False,False
711,gourgeist-average,gourgeist,0.9,12.5,65,90,122,58,75,84,ghost,grass,False,False
712,bergmite,bergmite,1.0,99.5,55,69,85,32,35,28,ice,,False,False
713,avalugg,avalugg,2.0,505.0,95,117,184,44,46,28,ice,,False,False
714,noibat,noibat,0.5,8.0,40,30,35,45,40,55,flying,dragon,False,False
715,noivern,noivern,1.5,85.0,85,70,80,97,80,123,flying,dragon,False,False
716,xerneas,xerneas,3.0,215.0,126,131,95,131,98,99,fairy,,True,False
717,yveltal,yveltal,5.8,203.0,126,131,95,131,98,99,dark,flying,True,False
718,zygarde,zygarde,5.0,305.0,108,100,121,81,95,95,dragon,ground,True,False
719,diancie,diancie,0.7,8.8,50,100,150,100,150,50,rock,fairy,False,True
720,hoopa,hoopa,0.5,9.0,80,110,60,150,130,70,psychic,ghost,False,True
721,volcanion,volcanion,1.7,195.0,80,110,120,130,90,70,fire,water,False,True
722,rowlet,rowlet,0.3,1.5,68,55,55,50,50,42,grass,flying,False,False
723,dartrix,dartrix,0.7,16.0,78,75,75,70,70,52,grass,flying,False,False
724,decidueye,decidueye,1.6,36.6,78,107,75,100,100,70,grass,ghost,False,False
725,litten,litten,0.4,4.3,45,65,40,60,40,70,fire,,False,False
726,torracat,torracat,0.7,25.0,65,85,50,80,50,90,fire,,False,False
