id,name,base_name,height_meter,weight_kg,hp,attack,defense,special_attack,special_defense,speed,type_1,type_2,is_legendary,is_mythical
615,cryogonal,cryogonal,1.1,148.0,80,50,50,95,135,105,ice,,False,False
616,shelmet,shelmet,0.4,7.7,50,40,85,40,65,25,bug,,False,False
617,accelgor,accelgor,0.8,25.3,80,70,40,100,60,145,bug,,False,False
618,stunfisk,stunfisk,0.7,11.0,109,66,84,81,99,32,ground,electric,False,False
619,mienfoo,mienfoo,0.9,20.0,45,85,50,55,50,65,fighting,,False,False
620,mienshao,mienshao,1.4,35.5,65,125,60,95,60,105,fighting,,False,False
621,druddigon,druddigon,1.6,139.0,77,120,90,60,90,48,dragon,,False,False
622,golett,golett,1.0,92.0,59,74,50,35,50,35,ground,ghost,False,False
623,golurk,golurk,2.8,330.0,89,124,80,55,80,55,ground,ghost,False,False
624,pawniard,pawniard,0.5,10.2,45,85,70,40,40,60,dark,steel,False,False
625,bisharp,bisharp,1.6,70.0,65,125,100,60,70,70,dark,steel,False,False
626,bouffalant,bouffalant,1.6,94.6,95,110,95,40,95,55,normal,,False,False
627,rufflet,rufflet,0.5,10.5,70,83,50,37,50,60,normal,flying,False,False
628,braviary,braviary,1.5,41.0,100,123,75,57,75,80,normal,flying,False,False
629,vullaby,vullaby,0.5,9.0,70,55,75,45,65,60,dark,flying,False,False
630,mandibuzz,mandibuzz,1.2,39.5,110,65,105,55,95,80,dark,flying,False,False
631,heatmor,heatmor,1.4,58.0,85,97,66,105,66,65,fire,,False,False
632,durant,durant,0.3,33.0,58,109,112,48,48,109,bug,steel,False,False
633,deino,deino,0.8,17.3,52,65,50,45,50,38,dark,dragon,False,False
634,zweilous,zweilous,1.4,50.0,72,85,70,65,70,58,dark,dragon,False,False
635,hydreigon,hydreigon,1.8,160.0,92,105,90,125,90,98,dark,dragon,False,False
636,larvesta,larvesta,1.1,28.8,55,85,55,50,55,60,bug,fire,False,False
637,volcarona,volcarona,1.6,46.0,85,60,65,135,105,100,bug,fire,False,False
638,cobalion,cobalion,2.1,250.0,91,90,129,90,72,108,steel,fighting,True,False
639,terrakion,terrakion,1.9,260.0,91,129,90,72,90,108,rock,fighting,True,False
640,virizion,virizion,2.0,200.0,91,90,72,90,129,108,grass,fighting,True,False
641,tornadus-incarnate,tornadus,1.5,63.0,79,115,70,125,80,111,flying,,True,False
642,thundurus-incarnate,thundurus,1.5,61.0,79,115,70,125,80,111,electric,flying,True,False
643,reshiram,reshiram,3.2,330.0,100,120,100,150,120,90,dragon,fire,True,False
644,zekrom,zekrom,2.9,345.0,100,150,120,120,100,90,dragon,electric,True,False
645,landorus-incarnate,landorus,1.5,68.0,89,125,90,115,80,101,ground,flying,True,False
646,kyurem,kyurem,3.0,325.0,125,130,90,130,90,95,dragon,ice,True,False
647,keldeo-ordinary,keldeo,1.4,48.5,91,72,90,129,90,108,water,fighting,False,True
648,meloetta-aria,meloetta,0.6,6.5,100,77,77,128,128,90,normal,psychic,False,True
649,genesect,genesect,1.5,82.5,71,120,95,120,95,99,bug,steel,False,True
650,chespin,chespin,0.4,9.0,56,61,65,48,45,38,grass,,False,False
651,quilladin,quilladin,0.7,29.0,61,78,95,56,58,57,grass,,False,False
652,chesnaught,chesnaught,1.6,90.0,88,107,122,74,75,64,grass,fighting,False,False
653,fennekin,fennekin,0.4,9.4,40,45,40,62,60,60,fire,,False,False
654,braixen,braixen,1.0,14.5,59,59,58,90,70,73,fire,,False,False
655,delphox,delphox,1.5,39.0,75,69,72,114,100,104,fire,psychic,False,False
656,froakie,froakie,0.3,7.0,41,56,40,62,44,71,water,,False,False
657,frogadier,frogadier,0.6,10.9,54,63,52,83,56,97,water,,False,False
658,greninja,greninja,1.5,40.0,72,95,67,103,71,122,water,dark,False,False
659,bunnelby,bunnelby,0.4,5.0,38,36,38,32,36,57,normal,,False,False
660,diggersby,diggersby,1.0,42.4,85,56,77,50,77,78,normal,ground,False,False
661,fletchling,fletchling,0.3,1.7,45,50,43,40,38,62,normal,flying,False,False
662,fletchinder,fletchinder,0.7,16.0,62,73,55,56,52,84,fire,flying,False,False
663,talonflame,talonflame,1.2,24.5,78,81,71,74,69,126,fire,flying,False,False
664,scatterbug,scatterbug,0.3,2.5,38,35,40,27,25,35,bug,,False,False
665,spewpa,spewpa,0.3,8.4,45,22,60,27,30,29,bug,,False,False
666,vivillon,vivillon,1.2,17.0,80,52,50,90,50,89,bug,flying,False,False
667,litleo,litleo,0.6,13.5,62,50,58,73,54,72,fire,normal,False,False
668,pyroar,pyroar,1.5,81.5,86,68,72,109,66,106,fire,normal,False,False
669,flabebe,flabebe,0.1,0.1,44,38,39,61,79,42,fairy,,False,False
670,floette,floette,0.2,0.9,54,45,47,75,98,52,fairy,,False,False
