id,name,base_name,height_meter,weight_kg,hp,attack,defense,special_attack,special_defense,speed,type_1,type_2,is_legendary,is_mythical
448,lucario,lucario,1.2,54.0,70,110,70,115,70,90,fighting,steel,False,False
449,hippopotas,hippopotas,0.8,49.5,68,72,78,38,42,32,ground,,False,False
450,hippowdon,hippowdon,2.0,300.0,108,112,118,68,72,47,ground,,False,False
451,skorupi,skorupi,0.8,12.0,40,50,90,30,55,65,poison,bug,False,False
452,drapion,drapion,1.3,61.5,70,90,110,60,75,95,poison,dark,False,False
453,croagunk,croagunk,0.7,23.0,48,61,40,61,40,50,poison,fighting,False,False
454,toxicroak,toxicroak,1.3,44.4,83,106,65,86,65,85,poison,fighting,False,False
455,carnivine,carnivine,1.4,27.0,74,100,72,90,72,46,grass,,False,False
456,finneon,finneon,0.4,7.0,49,49,56,49,61,66,water,,False,False
457,lumineon,lumineon,1.2,24.0,69,69,76,69,86,91,water,,False,False
458,mantyke,mantyke,1.0,65.0,45,20,50,60,120,50,water,flying,False,False
459,snover,snover,1.0,50.5,60,62,50,62,60,40,grass,ice,False,False
460,abomasnow,abomasnow,2.2,135.5,90,92,75,92,85,60,grass,ice,False,False
461,weavile,weavile,1.1,34.0,70,120,65,45,85,125,dark,ice,False,False
462,magnezone,magnezone,1.2,180.0,70,70,115,130,90,60,electric,steel,False,False
463,lickilicky,lickilicky,1.7,140.0,110,85,95,80,95,50,normal,,False,False
464,rhyperior,rhyperior,2.4,282.8,115,140,130,55,55,40,ground,rock,False,False
465,tangrowth,tangrowth,2.0,128.6,100,100,125,110,50,50,grass,,False,False
466,electivire,electivire,1.8,138.6,75,123,67,95,85,95,electric,,False,False
467,magmortar,magmortar,1.6,68.0,75,95,67,125,95,83,fire,,False,False
468,togekiss,togekiss,1.5,38.0,85,50,95,120,115,80,fairy,flying,False,False
469,yanmega,yanmega,1.9,51.5,86,76,86,116,56,95,bug,flying,False,False
470,leafeon,leafeon,1.0,25.5,65,110,130,60,65,95,grass,,False,False
471,glaceon,glaceon,0.8,25.9,65,60,110,130,95,65,ice,,False,False
472,gliscor,gliscor,2.0,42.5,75,95,125,45,75,95,ground,flying,False,False
473,mamoswine,mamoswine,2.5,291.0,110,130,80,70,60,80,ice,ground,False,False
474,porygon-z,porygon-z,0.9,34.0,85,80,70,135,75,90,normal,,False,False
475,gallade,gallade,1.6,52.0,68,125,65,65,115,80,psychic,fighting,False,False
476,probopass,probopass,1.4,340.0,60,55,145,75,150,40,rock,steel,False,False
477,dusknoir,dusknoir,2.2,106.6,45,100,135,65,135,45,ghost,,False,False
478,froslass,froslass,1.3,26.6,70,80,70,80,70,110,ice,ghost,False,False
479,rotom,rotom,0.3,0.3,50,50,77,95,77,91,electric,ghost,False,False
480,uxie,uxie,0.3,0.3,75,75,130,75,130,95,psychic,,True,False
481,mesprit,mesprit,0.3,0.3,80,105,105,105,105,80,psychic,,True,False
482,azelf,azelf,0.3,0.3,75,125,70,125,70,115,psychic,,True,False
483,dialga,dialga,5.4,683.0,100,120,120,150,100,90,steel,dragon,True,False
484,palkia,palkia,4.2,336.0,90,120,100,150,120,100,water,dragon,True,False
485,heatran,heatran,1.7,430.0,91,90,106,130,106,77,fire,steel,True,False
486,regigigas,regigigas,3.7,420.0,110,160,110,80,110,100,normal,,True,False
487,giratina-altered,giratina,4.5,750.0,150,100,120,100,120,90,ghost,dragon,True,False
488,cresselia,cresselia,1.5,85.6,120,70,120,75,130,85,psychic,,True,False
489,phione,phione,0.4,3.1,80,80,80,80,80,80,water,,False,True
490,manaphy,manaphy,0.3,1.4,100,100,100,100,100,100,water,,False,True
491,darkrai,darkrai,1.5,50.5,70,90,90,135,90,125,dark,,False,True
492,shaymin-land,shaymin,0.2,2.1,100,100,100,100,100,100,grass,,False,True
493,arceus,arceus,3.2,320.0,120,120,120,120,120,120,normal,,False,True
494,victini,victini,0.4,4.0,100,100,100,100,100,100,psychic,fire,False,True
495,snivy,snivy,0.6,8.1,45,45,55,45,55,63,grass,,False,False
496,servine,servine,0.8,16.0,60,60,75,60,75,83,grass,,False,False
497,serperior,serperior,3.3,63.0,75,75,95,75,95,113,grass,,False,False
498,tepig,tepig,0.5,9.9,65,63,45,45,45,45,fire,,False,False
499,pignite,pignite,1.0,55.5,90,93,55,70,55,55,fire,fighting,False,False
500,emboar,emboar,1.6,150.0,110,123,65,100,65,65,fire,fighting,False,False
501,oshawott,oshawott,0.5,5.9,55,55,45,63,45,45,water,,False,False
502,dewott,dewott,0.8,24.5,75,75,60,83,60,60,water,,False,False
503,samurott,samurott,1.5,94.6,95,100,85,108,70,70,water,,False,False
