id,name,base_name,height_meter,weight_kg,hp,attack,defense,special_attack,special_defense,speed,type_1,type_2,is_legendary,is_mythical
895,regidrago,regidrago,2.1,200.0,200,100,50,100,50,80,dragon,,True,False
896,glastrier,glastrier,2.2,800.0,100,145,130,65,110,30,ice,,True,False
897,spectrier,spectrier,2.0,44.5,100,65,60,145,80,130,ghost,,True,False
898,calyrex,calyrex,1.1,7.7,100,80,80,80,80,80,psychic,grass,True,False
10001,deoxys-attack,deoxys,1.7,60.8,50,180,20,180,20,150,psychic,,False,True
10002,deoxys-defense,deoxys,1.7,60.8,50,70,160,70,160,90,psychic,,False,True
10003,deoxys-speed,deoxys,1.7,60.8,50,95,90,95,90,180,psychic,,False,True
10004,wormadam-sandy,wormadam,0.5,6.5,60,79,105,59,85,36,bug,ground,False,False
10005,wormadam-trash,wormadam,0.5,6.5,60,69,95,69,95,36,bug,steel,False,False
10006,shaymin-sky,shaymin,0.4,5.2,100,103,75,120,75,127,grass,flying,False,True
10007,giratina-origin,giratina,6.9,650.0,150,120,100,120,100,90,ghost,dragon,True,False
10008,rotom-heat,rotom,0.3,0.3,50,65,107,105,107,86,electric,fire,False,False
10009,rotom-wash,rotom,0.3,0.3,50,65,107,105,107,86,electric,water,False,False
10010,rotom-frost,rotom,0.3,0.3,50,65,107,105,107,86,electric,ice,False,False
10011,rotom-fan,rotom,0.3,0.3,50,65,107,105,107,86,electric,flying,False,False
10012,rotom-mow,rotom,0.3,0.3,50,65,107,105,107,86,electric,grass,False,False
10013,castform-sunny,castform,0.3,0.8,70,70,70,70,70,70,fire,,False,False
10014,castform-rainy,castform,0.3,0.8,70,70,70,70,70,70,water,,False,False
10015,castform-snowy,castform,0.3,0.8,70,70,70,70,70,70,ice,,False,False
10016,basculin-blue-striped,basculin,1.0,18.0,70,92,65,80,55,98,water,,False,False
10017,darmanitan-zen,darmanitan,1.3,92.9,105,30,105,140,105,55,fire,psychic,False,False
10018,meloetta-pirouette,meloetta,0.6,6.5,100,128,90,77,77,128,normal,fighting,False,True
10019,tornadus-therian,tornadus,1.4,63.0,79,100,80,110,90,121,flying,,True,False
10020,thundurus-therian,thundurus,3.0,61.0,79,105,70,145,80,101,electric,flying,True,False
10021,landorus-therian,landorus,1.3,68.0,89,145,90,105,80,91,ground,flying,True,False
10022,kyurem-black,kyurem,3.3,325.0,125,170,100,120,90,95,dragon,ice,True,False
10023,kyurem-white,kyurem,3.6,325.0,125,120,90,170,100,95,dragon,ice,True,False
10024,keldeo-resolute,keldeo,1.4,48.5,91,72,90,129,90,108,water,fighting,False,True
10025,meowstic-female,meowstic,0.6,8.5,74,48,76,83,81,104,psychic,,False,False
10026,aegislash-blade,aegislash,1.7,53.0,60,140,50,140,50,60,steel,ghost,False,False
10027,pumpkaboo-small,pumpkaboo,0.3,3.5,44,66,70,44,55,56,ghost,grass,False,False
10028,pumpkaboo-large,pumpkaboo,0.5,7.5,54,66,70,44,55,46,ghost,grass,False,False
10029,pumpkaboo-super,pumpkaboo,0.8,15.0,59,66,70,44,55,41,ghost,grass,False,False
10030,gourgeist-small,gourgeist,0.7,9.5,55,85,122,58,75,99,ghost,grass,False,False
10031,gourgeist-large,gourgeist,1.1,14.0,75,95,122,58,75,69,ghost,grass,False,False
10032,gourgeist-super,gourgeist,1.7,39.0,85,100,122,58,75,54,ghost,grass,False,False
10033,venusaur-mega,venusaur,2.4,155.5,80,100,123,122,120,80,grass,poison,False,False
10034,charizard-mega-x,charizard,1.7,110.5,78,130,111,130,85,100,fire,dragon,False,False
10035,charizard-mega-y,charizard,1.7,100.5,78,104,78,159,115,100,fire,flying,False,False
10036,blastoise-mega,blastoise,1.6,101.1,79,103,120,135,115,78,water,,False,False
10037,alakazam-mega,alakazam,1.2,48.0,55,50,65,175,105,150,psychic,,False,False
10038,gengar-mega,gengar,1.4,40.5,60,65,80,170,95,130,ghost,poison,False,False
10039,kangaskhan-mega,kangaskhan,2.2,100.0,105,125,100,60,100,100,normal,,False,False
10040,pinsir-mega,pinsir,1.7,59.0,65,155,120,65,90,105,bug,flying,False,False
10041,gyarados-mega,gyarados,6.5,305.0,95,155,109,70,130,81,water,dark,False,False
10042,aerodactyl-mega,aerodactyl,2.1,79.0,80,135,85,70,95,150,rock,flying,False,False
10043,mewtwo-mega-x,mewtwo,2.3,127.0,106,190,100,154,100,130,psychic,fighting,True,False
10044,mewtwo-mega-y,mewtwo,1.5,33.0,106,150,70,194,120,140,psychic,,True,False
10045,ampharos-mega,ampharos,1.4,61.5,90,95,105,165,110,45,electric,dragon,False,False
10046,scizor-mega,scizor,2.0,125.0,70,150,140,65,100,75,bug,steel,False,False
10047,heracross-mega,heracross,1.7,62.5,80,185,115,40,105,75,bug,fighting,False,False
10048,houndoom-mega,houndoom,1.9,49.5,75,90,90,140,90,115,dark,fire,False,False
10049,tyranitar-mega,tyranitar,2.5,255.0,100,164,150,95,120,71,rock,dark,False,False
10050,blaziken-mega,blaziken,1.9,52.0,80,160,80,130,80,100,fire,fighting,False,False
10051,gardevoir-mega,gardevoir,1.6,48.4,68,85,65,165,135,100,psychic,fairy,False,False
10052,mawile-mega,mawile,1.0,23.5,50,105,125,55,95,50,steel,fairy,False,False
