id,name,base_name,height_meter,weight_kg,hp,attack,defense,special_attack,special_defense,speed,type_1,type_2,is_legendary,is_mythical
56,mankey,mankey,0.5,28.0,40,80,35,35,45,70,fighting,,False,False
57,primeape,primeape,1.0,32.0,65,105,60,60,70,95,fighting,,False,False
58,growlithe,growlithe,0.7,19.0,55,70,45,70,50,60,fire,,False,False
59,arcanine,arcanine,1.9,155.0,90,110,80,100,80,95,fire,,False,False
60,poliwag,poliwag,0.6,12.4,40,50,40,40,40,90,water,,False,False
61,poliwhirl,poliwhirl,1.0,20.0,65,65,65,50,50,90,water,,False,False
62,poliwrath,poliwrath,1.3,54.0,90,95,95,70,90,70,water,fighting,False,False
63,abra,abra,0.9,19.5,25,20,15,105,55,90,psychic,,False,False
64,kadabra,kadabra,1.3,56.5,40,35,30,120,70,105,psychic,,False,False
65,alakazam,alakazam,1.5,48.0,55,50,45,135,95,120,psychic,,False,False
66,machop,machop,0.8,19.5,70,80,50,35,35,35,fighting,,False,False
67,machoke,machoke,1.5,70.5,80,100,70,50,60,45,fighting,,False,False
68,machamp,machamp,1.6,130.0,90,130,80,65,85,55,fighting,,False,False
69,bellsprout,bellsprout,0.7,4.0,50,75,35,70,30,40,grass,poison,False,False
70,weepinbell,weepinbell,1.0,6.4,65,90,50,85,45,55,grass,poison,False,False
71,victreebel,victreebel,1.7,15.5,80,105,65,100,70,70,grass,poison,False,False
72,tentacool,tentacool,0.9,45.5,40,40,35,50,100,70,water,poison,False,False
73,tentacruel,tentacruel,1.6,55.0,80,70,65,80,120,100,water,poison,False,False
74,geodude,geodude,0.4,20.0,40,80,100,30,30,20,rock,ground,False,False
75,graveler,graveler,1.0,105.0,55,95,115,45,45,35,rock,ground,False,False
76,golem,golem,1.4,300.0,80,120,130,55,65,45,rock,ground,False,False
77,ponyta,ponyta,1.0,30.0,50,85,55,65,65,90,fire,,False,False
78,rapidash,rapidash,1.7,95.0,65,100,70,80,80,105,fire,,False,False
79,slowpoke,slowpoke,1.2,36.0,90,65,65,40,40,15,water,psychic,False,False
80,slowbro,slowbro,1.6,78.5,95,75,110,100,80,30,water,psychic,False,False
81,magnemite,magnemite,0.3,6.0,25,35,70,95,55,45,electric,steel,False,False
82,magneton,magneton,1.0,60.0,50,60,95,120,70,70,electric,steel,False,False
83,farfetchd,farfetchd,0.8,15.0,52,90,55,58,62,60,normal,flying,False,False
84,doduo,doduo,1.4,39.2,35,85,45,35,35,75,normal,flying,False,False
85,dodrio,dodrio,1.8,85.2,60,110,70,60,60,110,normal,flying,False,False
86,seel,seel,1.1,90.0,65,45,55,45,70,45,water,,False,False
87,dewgong,dewgong,1.7,120.0,90,70,80,70,95,70,water,ice,False,False
88,grimer,grimer,0.9,30.0,80,80,50,40,50,25,poison,,False,False
89,muk,muk,1.2,30.0,105,105,75,65,100,50,poison,,False,False
90,shellder,shellder,0.3,4.0,30,65,100,45,25,40,water,,False,False
91,cloyster,cloyster,1.5,132.5,50,95,180,85,45,70,water,ice,False,False
92,gastly,gastly,1.3,0.1,30,35,30,100,35,80,ghost,poison,False,False
93,haunter,haunter,1.6,0.1,45,50,45,115,55,95,ghost,poison,False,False
94,gengar,gengar,1.5,40.5,60,65,60,130,75,110,ghost,poison,False,False
95,onix,onix,8.8,210.0,35,45,160,30,45,70,rock,ground,False,False
96,drowzee,drowzee,1.0,32.4,60,48,45,43,90,42,psychic,,False,False
97,hypno,hypno,1.6,75.6,85,73,70,73,115,67,psychic,,False,False
98,krabby,krabby,0.4,6.5,30,105,90,25,25,50,water,,False,False
99,kingler,kingler,1.3,60.0,55,130,115,50,50,75,water,,False,False
100,voltorb,voltorb,0.5,10.4,40,30,50,55,55,100,electric,,False,False
101,electrode,electrode,1.2,66.6,60,50,70,80,80,150,electric,,False,False
102,exeggcute,exeggcute,0.4,2.5,60,40,80,60,45,40,grass,psychic,False,False
103,exeggutor,exeggutor,2.0,120.0,95,95,85,125,75,55,grass,psychic,False,False
104,cubone,cubone,0.4,6.5,50,50,95,40,50,35,ground,,False,False
105,marowak,marowak,1.0,45.0,60,80,110,50,80,45,ground,,False,False
106,hitmonlee,hitmonlee,1.5,49.8,50,120,53,35,110,87,fighting,,False,False
107,hitmonchan,hitmonchan,1.4,50.2,50,105,79,35,110,76,fighting,,False,False
108,lickitung,lickitung,1.2,65.5,90,55,75,60,75,30,normal,,False,False
109,koffing,koffing,0.6,1.0,40,65,95,60,45,35,poison,,False,False
110,weezing,weezing,1.2,9.5,65,90,120,85,70,60,poison,,False,False
111,rhyhorn,rhyhorn,1.0,115.0,80,85,95,30,30,25,ground,rock,False,False
