id,name,base_name,height_meter,weight_kg,hp,attack,defense,special_attack,special_defense,speed,type_1,type_2,is_legendary,is_mythical
168,ariados,ariados,1.1,33.5,70,90,70,60,70,40,bug,poison,False,False
169,crobat,crobat,1.8,75.0,85,90,80,70,80,130,poison,flying,False,False
170,chinchou,chinchou,0.5,12.0,75,38,38,56,56,67,water,electric,False,False
171,lanturn,lanturn,1.2,22.5,125,58,58,76,76,67,water,electric,False,False
172,pichu,pichu,0.3,2.0,20,40,15,35,35,60,electric,,False,False
173,cleffa,cleffa,0.3,3.0,50,25,28,45,55,15,fairy,,False,False
174,igglybuff,igglybuff,0.3,1.0,90,30,15,40,20,15,normal,fairy,False,False
175,togepi,togepi,0.3,1.5,35,20,65,40,65,20,fairy,,False,False
176,togetic,togetic,0.6,3.2,55,40,85,80,105,40,fairy,flying,False,False
177,natu,natu,0.2,2.0,40,50,45,70,45,70,psychic,flying,False,False
178,xatu,xatu,1.5,15.0,65,75,70,95,70,95,psychic,flying,False,False
179,mareep,mareep,0.6,7.8,55,40,40,65,45,35,electric,,False,False
180,flaaffy,flaaffy,0.8,13.3,70,55,55,80,60,45,electric,,False,False
181,ampharos,ampharos,1.4,61.5,90,75,85,115,90,55,electric,,False,False
182,bellossom,bellossom,0.4,5.8,75,80,95,90,100,50,grass,,False,False
183,marill,marill,0.4,8.5,70,20,50,20,50,40,water,fairy,False,False
184,azumarill,azumarill,0.8,28.5,100,50,80,60,80,50,water,fairy,False,False
185,sudowoodo,sudowoodo,1.2,38.0,70,100,115,30,65,30,rock,,False,False
186,politoed,politoed,1.1,33.9,90,75,75,90,100,70,water,,False,False
187,hoppip,hoppip,0.4,0.5,35,35,40,35,55,50,grass,flying,False,False
188,skiploom,skiploom,0.6,1.0,55,45,50,45,65,80,grass,flying,False,False
189,jumpluff,jumpluff,0.8,3.0,75,55,70,55,95,110,grass,flying,False,False
190,aipom,aipom,0.8,11.5,55,70,55,40,55,85,normal,,False,False
191,sunkern,sunkern,0.3,1.8,30,30,30,30,30,30,grass,,False,False
192,sunflora,sunflora,0.8,8.5,75,75,55,105,85,30,grass,,False,False
193,yanma,yanma,1.2,38.0,65,65,45,75,45,95,bug,flying,False,False
194,wooper,wooper,0.4,8.5,55,45,45,25,25,15,water,ground,False,False
195,quagsire,quagsire,1.4,75.0,95,85,85,65,65,35,water,ground,False,False
196,espeon,espeon,0.9,26.5,65,65,60,130,95,110,psychic,,False,False
197,umbreon,umbreon,1.0,27.0,95,65,110,60,130,65,dark,,False,False
198,murkrow,murkrow,0.5,2.1,60,85,42,85,42,91,dark,flying,False,False
199,slowking,slowking,2.0,79.5,95,75,80,100,110,30,water,psychic,False,False
200,misdreavus,misdreavus,0.7,1.0,60,60,60,85,85,85,ghost,,False,False
201,unown,unown,0.5,5.0,48,72,48,72,48,48,psychic,,False,False
202,wobbuffet,wobbuffet,1.3,28.5,190,33,58,33,58,33,psychic,,False,False
203,girafarig,girafarig,1.5,41.5,70,80,65,90,65,85,normal,psychic,False,False
204,pineco,pineco,0.6,7.2,50,65,90,35,35,15,bug,,False,False
205,forretress,forretress,1.2,125.8,75,90,140,60,60,40,bug,steel,False,False
206,dunsparce,dunsparce,1.5,14.0,100,70,70,65,65,45,normal,,False,False
207,gligar,gligar,1.1,64.8,65,75,105,35,65,85,ground,flying,False,False
208,steelix,steelix,9.2,400.0,75,85,200,55,65,30,steel,ground,False,False
209,snubbull,snubbull,0.6,7.8,60,80,50,40,40,30,fairy,,False,False
210,granbull,granbull,1.4,48.7,90,120,75,60,60,45,fairy,,False,False
211,qwilfish,qwilfish,0.5,3.9,65,95,85,55,55,85,water,poison,False,False
212,scizor,scizor,1.8,118.0,70,130,100,55,80,65,bug,steel,False,False
213,shuckle,shuckle,0.6,20.5,20,10,230,10,230,5,bug,rock,False,False
214,heracross,heracross,1.5,54.0,80,125,75,40,95,85,bug,fighting,False,False
215,sneasel,sneasel,0.9,28.0,55,95,55,35,75,115,dark,ice,False,False
216,teddiursa,teddiursa,0.6,8.8,60,80,50,50,50,40,normal,,False,False
217,ursaring,ursaring,1.8,125.8,90,130,75,75,75,55,normal,,False,False
218,slugma,slugma,0.7,35.0,40,40,40,70,40,20,fire,,False,False
219,magcargo,magcargo,0.8,55.0,60,50,120,90,80,30,fire,rock,False,False
220,swinub,swinub,0.4,6.5,50,50,40,30,30,50,ice,ground,False,False
221,piloswine,piloswine,1.1,55.8,100,100,80,60,60,50,ice,ground,False,False
222,corsola,corsola,0.6,5.0,65,55,95,65,95,35,water,rock,False,False
223,remoraid,remoraid,0.6,12.0,35,65,35,65,35,65,water,,False,False
