id,name,base_name,height_meter,weight_kg,hp,attack,defense,special_attack,special_defense,speed,type_1,type_2,is_legendary,is_mythical
336,seviper,seviper,2.7,52.5,73,100,60,100,60,65,poison,,False,False
337,lunatone,lunatone,1.0,168.0,90,55,65,95,85,70,rock,psychic,False,False
338,solrock,solrock,1.2,154.0,90,95,85,55,65,70,rock,psychic,False,False
339,barboach,barboach,0.4,1.9,50,48,43,46,41,60,water,ground,False,False
340,whiscash,whiscash,0.9,23.6,110,78,73,76,71,60,water,ground,False,False
341,corphish,corphish,0.6,11.5,43,80,65,50,35,35,water,,False,False
342,crawdaunt,crawdaunt,1.1,32.8,63,120,85,90,55,55,water,dark,False,False
343,baltoy,baltoy,0.5,21.5,40,40,55,40,70,55,ground,psychic,False,False
344,claydol,claydol,1.5,108.0,60,70,105,70,120,75,ground,psychic,False,False
345,lileep,lileep,1.0,23.8,66,41,77,61,87,23,rock,grass,False,False
346,cradily,cradily,1.5,60.4,86,81,97,81,107,43,rock,grass,False,False
347,anorith,anorith,0.7,12.5,45,95,50,40,50,75,rock,bug,False,False
348,armaldo,armaldo,1.5,68.2,75,125,100,70,80,45,rock,bug,False,False
349,feebas,feebas,0.6,7.4,20,15,20,10,55,80,water,,False,False
350,milotic,milotic,6.2,162.0,95,60,79,100,125,81,water,,False,False
351,castform,castform,0.3,0.8,70,70,70,70,70,70,normal,,False,False
352,kecleon,kecleon,1.0,22.0,60,90,70,60,120,40,normal,,False,False
353,shuppet,shuppet,0.6,2.3,44,75,35,63,33,45,ghost,,False,False
354,banette,banette,1.1,12.5,64,115,65,83,63,65,ghost,,False,False
355,duskull,duskull,0.8,15.0,20,40,90,30,90,25,ghost,,False,False
356,dusclops,dusclops,1.6,30.6,40,70,130,60,130,25,ghost,,False,False
357,tropius,tropius,2.0,100.0,99,68,83,72,87,51,grass,flying,False,False
358,chimecho,chimecho,0.6,1.0,75,50,80,95,90,65,psychic,,False,False
359,absol,absol,1.2,47.0,65,130,60,75,60,75,dark,,False,False
360,wynaut,wynaut,0.6,14.0,95,23,48,23,48,23,psychic,,False,False
361,snorunt,snorunt,0.7,16.8,50,50,50,50,50,50,ice,,False,False
362,glalie,glalie,1.5,256.5,80,80,80,80,80,80,ice,,False,False
363,spheal,spheal,0.8,39.5,70,40,50,55,50,25,ice,water,False,False
364,sealeo,sealeo,1.1,87.6,90,60,70,75,70,45,ice,water,False,False
365,walrein,walrein,1.4,150.6,110,80,90,95,90,65,ice,water,False,False
366,clamperl,clamperl,0.4,52.5,35,64,85,74,55,32,water,,False,False
367,huntail,huntail,1.7,27.0,55,104,105,94,75,52,water,,False,False
368,gorebyss,gorebyss,1.8,22.6,55,84,105,114,75,52,water,,False,False
369,relicanth,relicanth,1.0,23.4,100,90,130,45,65,55,water,rock,False,False
370,luvdisc,luvdisc,0.6,8.7,43,30,55,40,65,97,water,,False,False
371,bagon,bagon,0.6,42.1,45,75,60,40,30,50,dragon,,False,False
372,shelgon,shelgon,1.1,110.5,65,95,100,60,50,50,dragon,,False,False
373,salamence,salamence,1.5,102.6,95,135,80,110,80,100,dragon,flying,False,False
374,beldum,beldum,0.6,95.2,40,55,80,35,60,30,steel,psychic,False,False
375,metang,metang,1.2,202.5,60,75,100,55,80,50,steel,psychic,False,False
376,metagross,metagross,1.6,550.0,80,135,130,95,90,70,steel,psychic,False,False
377,regirock,regirock,1.7,230.0,80,100,200,50,100,50,rock,,True,False
378,regice,regice,1.8,175.0,80,50,100,100,200,50,ice,,True,False
379,registeel,registeel,1.9,205.0,80,75,150,75,150,50,steel,,True,False
380,latias,latias,1.4,40.0,80,80,90,110,130,110,dragon,psychic,True,False
381,latios,latios,2.0,60.0,80,90,80,130,110,110,dragon,psychic,True,False
382,kyogre,kyogre,4.5,352.0,100,100,90,150,140,90,water,,True,False
383,groudon,groudon,3.5,950.0,100,150,140,100,90,90,ground,,True,False
384,rayquaza,rayquaza,7.0,206.5,105,150,90,150,90,95,dragon,flying,True,False
385,jirachi,jirachi,0.3,1.1,100,100,100,100,100,100,steel,psychic,False,True
386,deoxys-normal,deoxys,1.7,60.8,50,150,50,150,50,150,psychic,,False,True
387,turtwig,turtwig,0.4,10.2,55,68,64,45,55,31,grass,,False,False
388,grotle,grotle,1.1,97.0,75,89,85,55,65,36,grass,,False,False
389,torterra,torterra,2.2,310.0,95,109,105,75,85,56,grass,ground,False,False
390,chimchar,chimchar,0.5,6.2,44,58,44,58,44,61,fire,,False,False
391,monferno,monferno,0.9,22.0,64,78,52,78,52,81,fire,fighting,False,False
