id,name,base_name,height_meter,weight_kg,hp,attack,defense,special_attack,special_defense,speed,type_1,type_2,is_legendary,is_mythical
10109,geodude-alola,geodude,0.4,20.3,40,80,100,30,30,20,rock,electric,False,False
10110,graveler-alola,graveler,1.0,110.0,55,95,115,45,45,35,rock,electric,False,False
10111,golem-alola,golem,1.7,316.0,80,120,130,55,65,45,rock,electric,False,False
10112,grimer-alola,grimer,0.7,42.0,80,80,50,40,50,25,poison,dark,False,False
10113,muk-alola,muk,1.0,52.0,105,105,75,65,100,50,poison,dark,False,False
10114,exeggutor-alola,exeggutor,10.9,415.6,95,105,85,125,75,45,grass,dragon,False,False
10115,marowak-alola,marowak,1.0,34.0,60,80,110,50,80,45,fire,ghost,False,False
10116,greninja-battle-bond,greninja,1.5,40.0,72,95,67,103,71,122,water,dark,False,False
10117,greninja-ash,greninja,1.5,40.0,72,145,67,153,71,132,water,dark,False,False
10118,zygarde-10,zygarde,1.2,33.5,54,100,71,61,85,115,dragon,ground,True,False
10119,zygarde-50,zygarde,5.0,305.0,108,100,121,81,95,95,dragon,ground,True,False
10120,zygarde-complete,zygarde,4.5,610.0,216,100,121,91,95,85,dragon,ground,True,False
10121,gumshoos-totem,gumshoos,1.4,60.0,88,110,60,55,60,45,normal,,False,False
10122,vikavolt-totem,vikavolt,2.6,147.5,77,70,90,145,75,43,bug,electric,False,False
10123,oricorio-pom-pom,oricorio,0.6,3.4,75,70,70,98,70,93,electric,flying,False,False
10124,oricorio-pau,oricorio,0.6,3.4,75,70,70,98,70,93,psychic,flying,False,False
10125,oricorio-sensu,oricorio,0.6,3.4,75,70,70,98,70,93,ghost,flying,False,False
10126,lycanroc-midnight,lycanroc,1.1,25.0,85,115,75,55,75,82,rock,,False,False
10127,wishiwashi-school,wishiwashi,8.2,78.6,45,140,130,140,135,30,water,,False,False
10128,lurantis-totem,lurantis,1.5,58.0,70,105,90,80,90,45,grass,,False,False
10129,salazzle-totem,salazzle,2.1,81.0,68,64,60,111,60,117,poison,fire,False,False
10130,minior-orange-meteor,minior,0.3,40.0,60,60,100,60,100,60,rock,flying,False,False
10131,minior-yellow-meteor,minior,0.3,40.0,60,60,100,60,100,60,rock,flying,False,False
10132,minior-green-meteor,minior,0.3,40.0,60,60,100,60,100,60,rock,flying,False,False
10133,minior-blue-meteor,minior,0.3,40.0,60,60,100,60,100,60,rock,flying,False,False
10134,minior-indigo-meteor,minior,0.3,40.0,60,60,100,60,100,60,rock,flying,False,False
10135,minior-violet-meteor,minior,0.3,40.0,60,60,100,60,100,60,rock,flying,False,False
10136,minior-red,minior,0.3,0.3,60,100,60,100,60,120,rock,flying,False,False
10137,minior-orange,minior,0.3,0.3,60,100,60,100,60,120,rock,flying,False,False
10138,minior-yellow,minior,0.3,0.3,60,100,60,100,60,120,rock,flying,False,False
10139,minior-green,minior,0.3,0.3,60,100,60,100,60,120,rock,flying,False,False
10140,minior-blue,minior,0.3,0.3,60,100,60,100,60,120,rock,flying,False,False
10141,minior-indigo,minior,0.3,0.3,60,100,60,100,60,120,rock,flying,False,False
10142,minior-violet,minior,0.3,0.3,60,100,60,100,60,120,rock,flying,False,False
10143,mimikyu-busted,mimikyu,0.2,0.7,55,90,80,50,105,96,ghost,fairy,False,False
10144,mimikyu-totem-disguised,mimikyu,0.4,2.8,55,90,80,50,105,96,ghost,fairy,False,False
10145,mimikyu-totem-busted,mimikyu,0.4,2.8,55,90,80,50,105,96,ghost,fairy,False,False
10146,kommo-o-totem,kommo-o,2.4,207.5,75,110,125,100,105,85,dragon,fighting,False,False
10147,magearna-original,magearna,1.0,80.5,80,95,115,130,115,65,steel,fairy,False,True
10148,pikachu-partner-cap,pikachu,0.4,6.0,35,55,40,50,50,90,electric,,False,False
10149,marowak-totem,marowak,1.7,98.0,60,80,110,50,80,45,fire,ghost,False,False
10150,ribombee-totem,ribombee,0.4,2.0,60,55,60,95,70,124,bug,fairy,False,False
10151,rockruff-own-tempo,rockruff,0.5,9.2,45,65,40,30,40,60,rock,,False,False
10152,lycanroc-dusk,lycanroc,0.8,25.0,75,117,65,55,65,110,rock,,False,False
10153,araquanid-totem,araquanid,3.1,217.5,68,70,92,50,132,42,water,bug,False,False
10154,togedemaru-totem,togedemaru,0.6,13.0,65,98,63,40,73,96,electric,steel,False,False
10155,necrozma-dusk,necrozma,3.8,460.0,97,157,127,113,109,77,psychic,steel,True,False
10156,necrozma-dawn,necrozma,4.2,350.0,97,113,109,157,127,77,psychic,ghost,True,False
10157,necrozma-ultra,necrozma,7.5,230.0,97,167,97,167,97,129,psychic,dragon,True,False
10158,meowth-galar,meowth,0.4,7.5,50,65,55,40,40,40,steel,,False,False
10159,ponyta-galar,ponyta,0.8,24.0,50,85,55,65,65,90,psychic,,False,False
10160,rapidash-galar,rapidash,1.7,80.0,65,100,70,80,80,105,psychic,fairy,False,False
10161,slowpoke-galar,slowpoke,1.2,36.0,90,65,65,40,40,15,psychic,,False,False
10162,slowbro-galar,slowbro,1.6,70.5,95,100,95,100,70,30,poison,psychic,False,False
10163,farfetchd-galar,farfetchd,0.8,42.0,52,95,55,58,62,55,fighting,,False,False
10164,weezing-galar,weezing,3.0,16.0,65,90,120,85,70,60,poison,fairy,False,False
