id,name,base_name,height_meter,weight_kg,hp,attack,defense,special_attack,special_defense,speed,type_1,type_2,is_legendary,is_mythical
112,rhydon,rhydon,1.9,120.0,105,130,120,45,45,40,ground,rock,False,False
113,chansey,chansey,1.1,34.6,250,5,5,35,105,50,normal,,False,False
114,tangela,tangela,1.0,35.0,65,55,115,100,40,60,grass,,False,False
115,kangaskhan,kangaskhan,2.2,80.0,105,95,80,40,80,90,normal,,False,False
116,horsea,horsea,0.4,8.0,30,40,70,70,25,60,water,,False,False
117,seadra,seadra,1.2,25.0,55,65,95,95,45,85,water,,False,False
118,goldeen,goldeen,0.6,15.0,45,67,60,35,50,63,water,,False,False
119,seaking,seaking,1.3,39.0,80,92,65,65,80,68,water,,False,False
120,staryu,staryu,0.8,34.5,30,45,55,70,55,85,water,,False,False
121,starmie,starmie,1.1,80.0,60,75,85,100,85,115,water,psychic,False,False
122,mr-mime,mr-mime,1.3,54.5,40,45,65,100,120,90,psychic,fairy,False,False
123,scyther,scyther,1.5,56.0,70,110,80,55,80,105,bug,flying,False,False
124,jynx,jynx,1.4,40.6,65,50,35,115,95,95,ice,psychic,False,False
125,electabuzz,electabuzz,1.1,30.0,65,83,57,95,85,105,electric,,False,False
126,magmar,magmar,1.3,44.5,65,95,57,100,85,93,fire,,False,False
127,pinsir,pinsir,1.5,55.0,65,125,100,55,70,85,bug,,False,False
128,tauros,tauros,1.4,88.4,75,100,95,40,70,110,normal,,False,False
129,magikarp,magikarp,0.9,10.0,20,10,55,15,20,80,water,,False,False
130,gyarados,gyarados,6.5,235.0,95,125,79,60,100,81,water,flying,False,False
131,lapras,lapras,2.5,220.0,130,85,80,85,95,60,water,ice,False,False
132,ditto,ditto,0.3,4.0,48,48,48,48,48,48,normal,,False,False
133,eevee,eevee,0.3,6.5,55,55,50,45,65,55,normal,,False,False
134,vaporeon,vaporeon,1.0,29.0,130,65,60,110,95,65,water,,False,False
135,jolteon,jolteon,0.8,24.5,65,65,60,110,95,130,electric,,False,False
136,flareon,flareon,0.9,25.0,65,130,60,95,110,65,fire,,False,False
137,porygon,porygon,0.8,36.5,65,60,70,85,75,40,normal,,False,False
138,omanyte,omanyte,0.4,7.5,35,40,100,90,55,35,rock,water,False,False
139,omastar,omastar,1.0,35.0,70,60,125,115,70,55,rock,water,False,False
140,kabuto,kabuto,0.5,11.5,30,80,90,55,45,55,rock,water,False,False
141,kabutops,kabutops,1.3,40.5,60,115,105,65,70,80,rock,water,False,False
142,aerodactyl,aerodactyl,1.8,59.0,80,105,65,60,75,130,rock,flying,False,False
143,snorlax,snorlax,2.1,460.0,160,110,65,65,110,30,normal,,False,False
144,articuno,articuno,1.7,55.4,90,85,100,95,125,85,ice,flying,True,False
145,zapdos,zapdos,1.6,52.6,90,90,85,125,90,100,electric,flying,True,False
146,moltres,moltres,2.0,60.0,90,100,90,125,85,90,fire,flying,True,False
147,dratini,dratini,1.8,3.3,41,64,45,50,50,50,dragon,,False,False
148,dragonair,dragonair,4.0,16.5,61,84,65,70,70,70,dragon,,False,False
149,dragonite,dragonite,2.2,210.0,91,134,95,100,100,80,dragon,flying,False,False
150,mewtwo,mewtwo,2.0,122.0,106,110,90,154,90,130,psychic,,True,False
151,mew,mew,0.4,4.0,100,100,100,100,100,100,psychic,,False,True
152,chikorita,chikorita,0.9,6.4,45,49,65,49,65,45,grass,,False,False
153,bayleef,bayleef,1.2,15.8,60,62,80,63,80,60,grass,,False,False
154,meganium,meganium,1.8,100.5,80,82,100,83,100,80,grass,,False,False
155,cyndaquil,cyndaquil,0.5,7.9,39,52,43,60,50,65,fire,,False,False
156,quilava,quilava,0.9,19.0,58,64,58,80,65,80,fire,,False,False
157,typhlosion,typhlosion,1.7,79.5,78,84,78,109,85,100,fire,,False,False
158,totodile,totodile,0.6,9.5,50,65,64,44,48,43,water,,False,False
159,croconaw,croconaw,1.1,25.0,65,80,80,59,63,58,water,,False,False
160,feraligatr,feraligatr,2.3,88.8,85,105,100,79,83,78,water,,False,False
161,sentret,sentret,0.8,6.0,35,46,34,35,45,20,normal,,False,False
162,furret,furret,1.8,32.5,85,76,64,45,55,90,normal,,False,False
163,hoothoot,hoothoot,0.7,21.2,60,30,30,36,56,50,normal,flying,False,False
164,noctowl,noctowl,1.6,40.8,100,50,50,86,96,70,normal,flying,False,False
165,ledyba,ledyba,1.0,10.8,40,20,30,40,80,55,bug,flying,False,False
166,ledian,ledian,1.4,35.6,55,35,50,55,110,85,bug,flying,False,False
167,spinarak,spinarak,0.5,8.5,40,60,40,40,40,30,bug,poison,False,False
